ID,Device,Month/Year,Last Value,Usage,Rate,Cost,Created At
10,PAC1_2,2026-03,941.70,941.70,0.2400,226.01,2026-04-01T00:01:06
11,PAC1_3,2026-03,1007.40,1007.40,0.2400,241.78,2026-04-01T00:01:08
15,PDPA480,2026-03,5707.40,5707.40,0.2400,1369.78,2026-04-01T00:01:09
16,PML480,2026-03,750.50,750.50,0.2400,180.12,2026-04-01T00:01:09
17,SUB_1A,2026-03,4557.40,4557.40,0.2400,1093.78,2026-04-01T00:01:09
18,SUB_1C,2026-03,267.60,267.60,0.2400,64.22,2026-04-01T00:01:09
19,SUB_1D,2026-03,6610.70,6610.70,0.2400,1586.57,2026-04-01T00:01:09
20,SUB_MA,2026-03,800.50,800.50,0.2400,192.12,2026-04-01T00:01:09
21,SUB_P2,2026-03,2301.20,2301.20,0.2400,552.29,2026-04-01T00:01:09
